Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: climate-model-simulation-crashes 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     2        0.4702            -nan     0.1000    0.0193
     3        0.4414            -nan     0.1000    0.0111
     4        0.4141            -nan     0.1000    0.0102
     5        0.3973            -nan     0.1000    0.0062
     6        0.3698            -nan     0.1000    0.0117
     7        0.3523            -nan     0.1000    0.0056
     8        0.3327            -nan     0.1000    0.0083
     9        0.3227            -nan     0.1000    0.0035
    10        0.3099            -nan     0.1000    0.0051
    20        0.2198            -nan     0.1000    0.0029
    40        0.1330            -nan     0.1000    0.0001
    60        0.0890            -nan     0.1000    0.0001
    80        0.0613            -nan     0.1000   -0.0000
   100        0.0435            -nan     0.1000   -0.0004
   120        0.0324            -nan     0.1000   -0.0001
   140        0.0219            -nan     0.1000   -0.0002
   150        0.0189            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.5195            -nan     0.1000    0.0299
     2        0.4864            -nan     0.1000    0.0143
     3        0.4215            -nan     0.1000    0.0306
     4        0.3895            -nan     0.1000    0.0120
     5        0.3683            -nan     0.1000    0.0078
     6        0.3473            -nan     0.1000    0.0097
     7        0.3269            -nan     0.1000    0.0079
     8        0.3036            -nan     0.1000    0.0056
     9        0.2876            -nan     0.1000    0.0044
    10        0.2603            -nan     0.1000    0.0147
    20        0.1683            -nan     0.1000    0.0059
    40        0.0890            -nan     0.1000   -0.0004
    60        0.0495            -nan     0.1000   -0.0006
    80        0.0295            -nan     0.1000   -0.0001
   100        0.0165            -nan     0.1000   -0.0001
   120        0.0102            -nan     0.1000   -0.0000
   140        0.0068            -nan     0.1000    0.0000
   150        0.0055            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.6017            -nan     0.1000    0.0133
     2        0.5761            -nan     0.1000    0.0089
     3        0.5504            -nan     0.1000    0.0116
     4        0.5327            -nan     0.1000    0.0058
     5        0.5226            -nan     0.1000    0.0025
     6        0.5044            -nan     0.1000    0.0027
     7        0.4941            -nan     0.1000    0.0037
     8        0.4790            -nan     0.1000    0.0039
     9        0.4630            -nan     0.1000    0.0080
    10        0.4497            -nan     0.1000    0.0065
    20        0.3643            -nan     0.1000    0.0003
    40        0.2651            -nan     0.1000    0.0020
    60        0.2151            -nan     0.1000    0.0013
    80        0.1731            -nan     0.1000    0.0000
   100        0.1481            -nan     0.1000   -0.0004
   120        0.1257            -nan     0.1000   -0.0003
   140        0.1067            -nan     0.1000   -0.0008
   150        0.0967            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.5797            -nan     0.1000    0.0174
     2        0.5269            -nan     0.1000    0.0189
     3        0.4887            -nan     0.1000    0.0129
     4        0.4489            -nan     0.1000    0.0164
     5        0.4331            -nan     0.1000    0.0042
     6        0.4058            -nan     0.1000    0.0117
