Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     5        0.0698            -nan     0.1000    0.0174
     6        0.0565            -nan     0.1000    0.0133
     7        0.0458            -nan     0.1000    0.0094
     8        0.0371            -nan     0.1000    0.0088
     9        0.0300            -nan     0.1000    0.0072
    10        0.0243            -nan     0.1000    0.0052
    20        0.0030            -nan     0.1000    0.0006
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1621            -nan     0.1000    0.0397
     2        0.1313            -nan     0.1000    0.0310
     3        0.1063            -nan     0.1000    0.0218
     4        0.0861            -nan     0.1000    0.0207
     5        0.0698            -nan     0.1000    0.0146
     6        0.0565            -nan     0.1000    0.0131
     7        0.0458            -nan     0.1000    0.0110
     8        0.0371            -nan     0.1000    0.0079
     9        0.0300            -nan     0.1000    0.0071
    10        0.0243            -nan     0.1000    0.0053
    20        0.0030            -nan     0.1000    0.0007
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1830            -nan     0.1000    0.0446
     2        0.1482            -nan     0.1000    0.0369
     3        0.1200            -nan     0.1000    0.0256
     4        0.0972            -nan     0.1000    0.0248
     5        0.0788            -nan     0.1000    0.0188
     6        0.0638            -nan     0.1000    0.0141
     7        0.0517            -nan     0.1000    0.0124
     8        0.0419            -nan     0.1000    0.0104
     9        0.0339            -nan     0.1000    0.0085
    10        0.0275            -nan     0.1000    0.0062
    20        0.0033            -nan     0.1000    0.0008
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1830            -nan     0.1000    0.0406
     2        0.1482            -nan     0.1000    0.0333
     3        0.1200            -nan     0.1000    0.0276
     4        0.0972            -nan     0.1000    0.0253
     5        0.0788            -nan     0.1000    0.0190
     6        0.0638            -nan     0.1000    0.0141
     7        0.0517            -nan     0.1000    0.0120
     8        0.0419            -nan     0.1000    0.0091
     9        0.0339            -nan     0.1000    0.0081
    10        0.0275            -nan     0.1000    0.0062
    20        0.0033            -nan     0.1000    0.0007
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1830            -nan     0.1000    0.0431
     2        0.1482            -nan     0.1000    0.0325
     3        0.1200            -nan     0.1000    0.0273
     4        0.0972            -nan     0.1000    0.0232
     5        0.0788            -nan     0.1000    0.0173
     6        0.0638            -nan     0.1000    0.0140
     7        0.0517            -nan     0.1000    0.0124
     8        0.0419            -nan     0.1000    0.0096
     9        0.0339            -nan     0.1000    0.0084
    10        0.0275            -nan     0.1000    0.0068
    20        0.0033            -nan     0.1000    0.0007
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1605            -nan     0.1000    0.0383
     2        0.1300            -nan     0.1000    0.0298
     3        0.1053            -nan     0.1000    0.0270
     4        0.0853            -nan     0.1000    0.0184
     5        0.0691            -nan     0.1000    0.0149
     6        0.0560            -nan     0.1000    0.0126
     7        0.0453            -nan     0.1000    0.0100
     8        0.0367            -nan     0.1000    0.0088
     9        0.0297            -nan     0.1000    0.0070
    10        0.0241            -nan     0.1000    0.0055
    20        0.0029            -nan     0.1000    0.0007
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1605            -nan     0.1000    0.0346
     2        0.1300            -nan     0.1000    0.0304
     3        0.1053            -nan     0.1000    0.0251
     4        0.0853            -nan     0.1000    0.0188
     5        0.0691            -nan     0.1000    0.0165
     6        0.0560            -nan     0.1000    0.0133
     7        0.0453            -nan     0.1000    0.0108
     8        0.0367            -nan     0.1000    0.0091
     9        0.0297            -nan     0.1000    0.0066
    10        0.0241            -nan     0.1000    0.0059
    20        0.0029            -nan     0.1000    0.0008
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1605            -nan     0.1000    0.0420
     2        0.1300            -nan     0.1000    0.0304
     3        0.1053            -nan     0.1000    0.0246
     4        0.0853            -nan     0.1000    0.0188
