Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: phoneme 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     4        1.1989            -nan     0.1000    0.0139
     5        1.1674            -nan     0.1000    0.0166
     6        1.1402            -nan     0.1000    0.0131
     7        1.1202            -nan     0.1000    0.0100
     8        1.0994            -nan     0.1000    0.0095
     9        1.0771            -nan     0.1000    0.0104
    10        1.0618            -nan     0.1000    0.0074
    20        0.9456            -nan     0.1000    0.0036
    40        0.8400            -nan     0.1000    0.0007
    60        0.7896            -nan     0.1000   -0.0000
    80        0.7534            -nan     0.1000    0.0001
   100        0.7202            -nan     0.1000   -0.0003
   120        0.6928            -nan     0.1000    0.0002
   140        0.6677            -nan     0.1000   -0.0004
   150        0.6574            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3204            -nan     0.1000    0.0315
     2        1.2645            -nan     0.1000    0.0269
     3        1.2219            -nan     0.1000    0.0211
     4        1.1782            -nan     0.1000    0.0204
     5        1.1427            -nan     0.1000    0.0180
     6        1.1115            -nan     0.1000    0.0142
     7        1.0828            -nan     0.1000    0.0134
     8        1.0543            -nan     0.1000    0.0140
     9        1.0336            -nan     0.1000    0.0090
    10        1.0121            -nan     0.1000    0.0102
    20        0.8886            -nan     0.1000    0.0022
    40        0.7668            -nan     0.1000    0.0013
    60        0.7099            -nan     0.1000    0.0006
    80        0.6678            -nan     0.1000    0.0003
   100        0.6292            -nan     0.1000   -0.0001
   120        0.5992            -nan     0.1000    0.0004
   140        0.5740            -nan     0.1000    0.0001
   150        0.5635            -nan     0.1000   -0.0004

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3437            -nan     0.1000    0.0225
     2        1.3063            -nan     0.1000    0.0185
     3        1.2750            -nan     0.1000    0.0151
     4        1.2473            -nan     0.1000    0.0124
     5        1.2249            -nan     0.1000    0.0104
     6        1.2035            -nan     0.1000    0.0098
     7        1.1859            -nan     0.1000    0.0088
     8        1.1697            -nan     0.1000    0.0076
     9        1.1559            -nan     0.1000    0.0068
    10        1.1436            -nan     0.1000    0.0056
    20        1.0553            -nan     0.1000    0.0030
    40        0.9713            -nan     0.1000    0.0005
    60        0.9338            -nan     0.1000    0.0002
    80        0.9019            -nan     0.1000    0.0004
   100        0.8770            -nan     0.1000    0.0003
   120        0.8561            -nan     0.1000    0.0002
   140        0.8413            -nan     0.1000   -0.0001
   150        0.8333            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3247            -nan     0.1000    0.0312
     2        1.2735            -nan     0.1000    0.0255
     3        1.2313            -nan     0.1000    0.0208
     4        1.1971            -nan     0.1000    0.0181
     5        1.1697            -nan     0.1000    0.0133
     6        1.1403            -nan     0.1000    0.0138
     7        1.1165            -nan     0.1000    0.0112
     8        1.0974            -nan     0.1000    0.0088
     9        1.0822            -nan     0.1000    0.0062
    10        1.0655            -nan     0.1000    0.0086
    20        0.9535            -nan     0.1000    0.0044
    40        0.8455            -nan     0.1000    0.0007
    60        0.7900            -nan     0.1000    0.0010
    80        0.7514            -nan     0.1000    0.0008
   100        0.7109            -nan     0.1000   -0.0002
   120        0.6830            -nan     0.1000   -0.0001
   140        0.6514            -nan     0.1000    0.0000
   150        0.6386            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3180            -nan     0.1000    0.0332
     2        1.2615            -nan     0.1000    0.0279
     3        1.2146            -nan     0.1000    0.0232
     4        1.1752            -nan     0.1000    0.0190
     5        1.1404            -nan     0.1000    0.0171
     6        1.1113            -nan     0.1000    0.0143
     7        1.0846            -nan     0.1000    0.0114
     8        1.0579            -nan     0.1000    0.0125
     9        1.0350            -nan     0.1000    0.0106
    10        1.0144            -nan     0.1000    0.0084
    20        0.8828            -nan     0.1000    0.0026
    40        0.7670            -nan     0.1000    0.0007
    60        0.6961            -nan     0.1000    0.0009
    80        0.6407            -nan     0.1000   -0.0002
   100        0.6009            -nan     0.1000    0.0003
   120        0.5671            -nan     0.1000    0.0001
   140        0.5337            -nan     0.1000   -0.0002
   150        0.5196            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3405            -nan     0.1000    0.0223
     2        1.3040            -nan     0.1000    0.0179
     3        1.2730            -nan     0.1000    0.0151
     4        1.2448            -nan     0.1000    0.0138
     5        1.2205            -nan     0.1000    0.0109
     6        1.1996            -nan     0.1000    0.0101
     7        1.1803            -nan     0.1000    0.0099
     8        1.1630            -nan     0.1000    0.0078
     9        1.1478            -nan     0.1000    0.0071
    10        1.1346            -nan     0.1000    0.0067
    20        1.0424            -nan     0.1000    0.0021
    40        0.9572            -nan     0.1000    0.0006
    60        0.9193            -nan     0.1000    0.0007
    80        0.8884            -nan     0.1000    0.0001
   100        0.8653            -nan     0.1000   -0.0002
   120        0.8476            -nan     0.1000    0.0002
