Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: wdbc 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     3        0.9492            -nan     0.1000    0.0416
     4        0.8631            -nan     0.1000    0.0427
     5        0.7848            -nan     0.1000    0.0377
     6        0.7202            -nan     0.1000    0.0314
     7        0.6619            -nan     0.1000    0.0269
     8        0.6102            -nan     0.1000    0.0238
     9        0.5662            -nan     0.1000    0.0184
    10        0.5257            -nan     0.1000    0.0198
    20        0.2695            -nan     0.1000    0.0073
    40        0.1249            -nan     0.1000    0.0009
    60        0.0742            -nan     0.1000   -0.0000
    80        0.0509            -nan     0.1000   -0.0000
   100        0.0335            -nan     0.1000    0.0003
   120        0.0244            -nan     0.1000   -0.0002
   140        0.0182            -nan     0.1000   -0.0000
   150        0.0158            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1650            -nan     0.1000    0.0711
     2        1.0340            -nan     0.1000    0.0599
     3        0.9285            -nan     0.1000    0.0502
     4        0.8382            -nan     0.1000    0.0446
     5        0.7582            -nan     0.1000    0.0414
     6        0.6905            -nan     0.1000    0.0314
     7        0.6303            -nan     0.1000    0.0290
     8        0.5791            -nan     0.1000    0.0229
     9        0.5361            -nan     0.1000    0.0190
    10        0.4915            -nan     0.1000    0.0216
    20        0.2553            -nan     0.1000    0.0057
    40        0.1007            -nan     0.1000    0.0010
    60        0.0515            -nan     0.1000   -0.0003
    80        0.0296            -nan     0.1000   -0.0001
   100        0.0187            -nan     0.1000   -0.0001
   120        0.0121            -nan     0.1000    0.0000
   140        0.0084            -nan     0.1000   -0.0000
   150        0.0067            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1704            -nan     0.1000    0.0692
     2        1.0500            -nan     0.1000    0.0597
     3        0.9496            -nan     0.1000    0.0447
     4        0.8587            -nan     0.1000    0.0405
     5        0.7937            -nan     0.1000    0.0320
     6        0.7304            -nan     0.1000    0.0309
     7        0.6764            -nan     0.1000    0.0260
     8        0.6303            -nan     0.1000    0.0209
     9        0.5918            -nan     0.1000    0.0169
    10        0.5541            -nan     0.1000    0.0189
    20        0.3441            -nan     0.1000    0.0047
    40        0.2002            -nan     0.1000    0.0021
    60        0.1471            -nan     0.1000   -0.0004
    80        0.1113            -nan     0.1000    0.0001
   100        0.0825            -nan     0.1000    0.0001
   120        0.0680            -nan     0.1000   -0.0005
   140        0.0549            -nan     0.1000    0.0002
   150        0.0488            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1547            -nan     0.1000    0.0750
     2        1.0383            -nan     0.1000    0.0570
     3        0.9335            -nan     0.1000    0.0483
     4        0.8468            -nan     0.1000    0.0393
     5        0.7698            -nan     0.1000    0.0363
     6        0.7027            -nan     0.1000    0.0315
     7        0.6485            -nan     0.1000    0.0250
     8        0.6018            -nan     0.1000    0.0232
     9        0.5585            -nan     0.1000    0.0197
    10        0.5177            -nan     0.1000    0.0207
    20        0.2877            -nan     0.1000    0.0060
    40        0.1389            -nan     0.1000   -0.0002
    60        0.0873            -nan     0.1000   -0.0004
    80        0.0572            -nan     0.1000   -0.0001
   100        0.0407            -nan     0.1000   -0.0001
   120        0.0280            -nan     0.1000    0.0001
   140        0.0202            -nan     0.1000    0.0000
   150        0.0172            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1570            -nan     0.1000    0.0753
     2        1.0323            -nan     0.1000    0.0581
     3        0.9254            -nan     0.1000    0.0524
     4        0.8345            -nan     0.1000    0.0424
     5        0.7547            -nan     0.1000    0.0390
     6        0.6901            -nan     0.1000    0.0302
     7        0.6349            -nan     0.1000    0.0270
     8        0.5823            -nan     0.1000    0.0254
     9        0.5380            -nan     0.1000    0.0205
    10        0.4956            -nan     0.1000    0.0196
    20        0.2625            -nan     0.1000    0.0068
    40        0.1076            -nan     0.1000    0.0005
    60        0.0566            -nan     0.1000    0.0001
    80        0.0327            -nan     0.1000    0.0000
   100        0.0181            -nan     0.1000   -0.0001
   120        0.0114            -nan     0.1000   -0.0000
   140        0.0073            -nan     0.1000   -0.0000
   150        0.0060            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1759            -nan     0.1000    0.0684
     2        1.0600            -nan     0.1000    0.0581
     3        0.9624            -nan     0.1000    0.0472
     4        0.8809            -nan     0.1000    0.0375
     5        0.8090            -nan     0.1000    0.0332
     6        0.7504            -nan     0.1000    0.0283
     7        0.6941            -nan     0.1000    0.0281
     8        0.6496            -nan     0.1000    0.0207
     9        0.6120            -nan     0.1000    0.0176
    10        0.5735            -nan     0.1000    0.0191
    20        0.3463            -nan     0.1000    0.0056
    40        0.1899            -nan     0.1000    0.0015
    60        0.1337            -nan     0.1000    0.0004
    80        0.1020            -nan     0.1000   -0.0002
   100        0.0769            -nan     0.1000    0.0007
   120        0.0620            -nan     0.1000    0.0000
   140        0.0483            -nan     0.1000    0.0002
   150        0.0437            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1601            -nan     0.1000    0.0747
     2        1.0327            -nan     0.1000    0.0616
     3        0.9340            -nan     0.1000    0.0460
     4        0.8450            -nan     0.1000    0.0419
     5        0.7730            -nan     0.1000    0.0372
     6        0.7036            -nan     0.1000    0.0326
     7        0.6405            -nan     0.1000    0.0294
     8        0.5886            -nan     0.1000    0.0232
     9        0.5444            -nan     0.1000    0.0212
