"instances_n","attributes_num","attributes_nom","dataset_type","K"
-0.303669001981377,-0.137188912579289,-0.361630824586923,-0.388223779989431,4
-0.57677789951496,-0.502824560643032,2.29032855571718,-0.388223779989431,4
-0.181834580217129,1.39127889500839,-0.361630824586923,2.45875060659973,4
2.07451148831806,-0.293969046521772,-0.361630824586923,-0.388223779989431,4
-0.303669001981377,-0.137188912579289,-0.361630824586923,-0.388223779989431,5
-0.57677789951496,-0.502824560643032,2.29032855571718,-0.388223779989431,5
-0.417374599785467,0.0805304960404855,-0.361630824586923,2.45875060659973,5
2.07451148831806,-0.293969046521772,-0.361630824586923,-0.388223779989431,5
0.289245458919547,4.0127756929442,-0.361630824586923,2.45875060659973,5
-0.550503902246159,-0.290695449121753,-0.227693482147322,-0.388223779989431,6
-0.490710303175394,-0.578444660583488,2.87965286245143,-0.388223779989431,6
-0.417374599785467,0.0805304960404855,-0.361630824586923,2.45875060659973,6
0.635871244473495,0.129143417430779,-0.361630824586923,-0.388223779989431,6
0.289245458919547,4.0127756929442,-0.361630824586923,2.45875060659973,6
2.51949114690797,-0.167935546621012,-0.361630824586923,-0.388223779989431,6
