"dataset_name","technique","noise_level","threshold","critical_percentage","kappa_at_critical"
"vehicle","naive_bayes",30,0.15,0,0
"wall-robot-navigation","naive_bayes",30,0.15,0,0
"mfeat-pixel","PART",30,0.15,0,0
"monks-problems-2","PART",30,0.15,0,0
"steel-plates-fault","PART",30,0.15,0,0
"vehicle","PART",30,0.15,0,0
"wall-robot-navigation","PART",30,0.15,0,0
"mfeat-pixel","rbfDDA",30,0.15,0,0
"monks-problems-2","rbfDDA",30,0.15,0,0
"steel-plates-fault","rbfDDA",30,0.15,0,0
"vehicle","rbfDDA",30,0.15,0,0
"wall-robot-navigation","rbfDDA",30,0.15,0,0
"mfeat-pixel","rda",30,0.15,0,0
"monks-problems-2","rda",30,0.15,0,0
"steel-plates-fault","rda",30,0.15,0,0
"vehicle","rda",30,0.15,0,0
"wall-robot-navigation","rda",30,0.15,0,0
"mfeat-pixel","rf",30,0.15,0,0
"monks-problems-2","rf",30,0.15,0,0
"steel-plates-fault","rf",30,0.15,0,0
"vehicle","rf",30,0.15,0,0
"wall-robot-navigation","rf",30,0.15,0,0
"mfeat-pixel","rpart",30,0.15,0,0
"monks-problems-2","rpart",30,0.15,0,0
"steel-plates-fault","rpart",30,0.15,0,0
"vehicle","rpart",30,0.15,0,0
"wall-robot-navigation","rpart",30,0.15,0,0
"mfeat-pixel","simpls",30,0.15,0,0
"monks-problems-2","simpls",30,0.15,0,0
"steel-plates-fault","simpls",30,0.15,0,0
"vehicle","simpls",30,0.15,0,0
"wall-robot-navigation","simpls",30,0.15,0,0
"mfeat-pixel","svmLinear",30,0.15,0,0
"monks-problems-2","svmLinear",30,0.15,0,0
"steel-plates-fault","svmLinear",30,0.15,0,0
"vehicle","svmLinear",30,0.15,0,0
"wall-robot-navigation","svmLinear",30,0.15,0,0
"mfeat-pixel","svmRadial",30,0.15,0,0
"monks-problems-2","svmRadial",30,0.15,0,0
"steel-plates-fault","svmRadial",30,0.15,0,0
"vehicle","svmRadial",30,0.15,0,0
"wall-robot-navigation","svmRadial",30,0.15,0,0
"mfeat-pixel","rfRules",30,0.15,0,0
"monks-problems-2","rfRules",30,0.15,0,0
"steel-plates-fault","rfRules",30,0.15,0,0
"vehicle","rfRules",30,0.15,0,0
"wall-robot-navigation","rfRules",30,0.15,0,0
"mfeat-pixel","knn",30,0.15,0,0
"monks-problems-2","knn",30,0.15,0,0
"steel-plates-fault","knn",30,0.15,0,0
"vehicle","knn",30,0.15,0,0
"wall-robot-navigation","knn",30,0.15,0,0
"mfeat-pixel","bayesglm",30,0.15,0,0
"monks-problems-2","bayesglm",30,0.15,0,0
"steel-plates-fault","bayesglm",30,0.15,0,0
"vehicle","bayesglm",30,0.15,0,0
"wall-robot-navigation","bayesglm",30,0.15,0,0
