Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: cmc 
Loaded 295 indices for fold 1 from: results/instances/original/vectors/cmc_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/cmc_Number_of_children_ever_born_noise0.1.csv 
Altering 1178 out of 1178 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
   120        1.0618            -nan     0.1000   -0.0003
   140        1.0536            -nan     0.1000   -0.0006
   150        1.0506            -nan     0.1000   -0.0004

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3346            -nan     0.1000    0.0109
     2        1.3134            -nan     0.1000    0.0082
     3        1.2942            -nan     0.1000    0.0078
     4        1.2758            -nan     0.1000    0.0093
     5        1.2599            -nan     0.1000    0.0072
     6        1.2447            -nan     0.1000    0.0057
     7        1.2316            -nan     0.1000    0.0053
     8        1.2181            -nan     0.1000    0.0057
     9        1.2090            -nan     0.1000    0.0030
    10        1.1993            -nan     0.1000    0.0040
    20        1.1236            -nan     0.1000    0.0020
    40        1.0576            -nan     0.1000   -0.0008
    60        1.0191            -nan     0.1000    0.0002
    80        0.9918            -nan     0.1000   -0.0001
   100        0.9707            -nan     0.1000   -0.0002
   120        0.9536            -nan     0.1000   -0.0009
   140        0.9374            -nan     0.1000   -0.0009
   150        0.9287            -nan     0.1000   -0.0008

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3239            -nan     0.1000    0.0148
     2        1.2943            -nan     0.1000    0.0141
     3        1.2685            -nan     0.1000    0.0093
     4        1.2447            -nan     0.1000    0.0104
     5        1.2278            -nan     0.1000    0.0078
     6        1.2116            -nan     0.1000    0.0065
     7        1.1987            -nan     0.1000    0.0047
     8        1.1838            -nan     0.1000    0.0060
     9        1.1711            -nan     0.1000    0.0052
    10        1.1631            -nan     0.1000    0.0021
    20        1.0819            -nan     0.1000    0.0020
    40        1.0111            -nan     0.1000   -0.0002
    60        0.9694            -nan     0.1000    0.0002
    80        0.9315            -nan     0.1000    0.0010
   100        0.9016            -nan     0.1000   -0.0008
   120        0.8747            -nan     0.1000   -0.0012
   140        0.8524            -nan     0.1000   -0.0004
   150        0.8372            -nan     0.1000   -0.0008

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3397            -nan     0.1000    0.0088
     2        1.3258            -nan     0.1000    0.0053
     3        1.3132            -nan     0.1000    0.0053
     4        1.3041            -nan     0.1000    0.0029
     5        1.2949            -nan     0.1000    0.0042
     6        1.2865            -nan     0.1000    0.0040
     7        1.2802            -nan     0.1000    0.0029
     8        1.2744            -nan     0.1000    0.0023
     9        1.2674            -nan     0.1000    0.0026
    10        1.2610            -nan     0.1000    0.0019
    20        1.2141            -nan     0.1000    0.0015
    40        1.1568            -nan     0.1000    0.0007
    60        1.1322            -nan     0.1000    0.0001
    80        1.1110            -nan     0.1000    0.0001
   100        1.0984            -nan     0.1000    0.0000
   120        1.0856            -nan     0.1000   -0.0006
   140        1.0773            -nan     0.1000   -0.0008
   150        1.0726            -nan     0.1000    0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3310            -nan     0.1000    0.0137
     2        1.3124            -nan     0.1000    0.0093
     3        1.2983            -nan     0.1000    0.0062
     4        1.2814            -nan     0.1000    0.0073
     5        1.2669            -nan     0.1000    0.0043
     6        1.2516            -nan     0.1000    0.0055
     7        1.2409            -nan     0.1000    0.0046
     8        1.2298            -nan     0.1000    0.0046
     9        1.2177            -nan     0.1000    0.0036
    10        1.2095            -nan     0.1000    0.0033
    20        1.1397            -nan     0.1000    0.0016
    40        1.0738            -nan     0.1000   -0.0003
