Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: ozone-level-8hr 
Loaded 507 indices for fold 1 from: results/instances/original/vectors/ozone-level-8hr_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/ozone-level-8hr_V42_noise0.1.csv 
Altering 2027 out of 2027 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
   120        0.2633            -nan     0.1000   -0.0002
   140        0.2523            -nan     0.1000   -0.0006
   150        0.2464            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4851            -nan     0.1000    0.0151
     2        0.4659            -nan     0.1000    0.0091
     3        0.4491            -nan     0.1000    0.0071
     4        0.4315            -nan     0.1000    0.0049
     5        0.4218            -nan     0.1000    0.0032
     6        0.4094            -nan     0.1000    0.0047
     7        0.3976            -nan     0.1000    0.0045
     8        0.3938            -nan     0.1000    0.0011
     9        0.3879            -nan     0.1000    0.0022
    10        0.3750            -nan     0.1000    0.0046
    20        0.3219            -nan     0.1000    0.0027
    40        0.2702            -nan     0.1000   -0.0004
    60        0.2347            -nan     0.1000    0.0000
    80        0.2087            -nan     0.1000   -0.0003
   100        0.1888            -nan     0.1000    0.0005
   120        0.1678            -nan     0.1000   -0.0001
   140        0.1517            -nan     0.1000   -0.0000
   150        0.1451            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4776            -nan     0.1000    0.0115
     2        0.4445            -nan     0.1000    0.0139
     3        0.4276            -nan     0.1000    0.0046
     4        0.4119            -nan     0.1000    0.0061
     5        0.4026            -nan     0.1000    0.0040
     6        0.3926            -nan     0.1000    0.0025
     7        0.3816            -nan     0.1000    0.0035
     8        0.3693            -nan     0.1000    0.0034
