Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: liver-disorders 
Loaded 69 indices for fold 1 from: results/instances/original/vectors/liver-disorders_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 50 %
Loading training noise data from: results/noise_injection/by_dataset/liver-disorders_sgpt_noise0.1.csv 
Altering 138 out of 276 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
   100        0.8350            -nan     0.1000   -0.0009
   120        0.7899            -nan     0.1000   -0.0012
   140        0.7571            -nan     0.1000   -0.0014
   150        0.7394            -nan     0.1000   -0.0016

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3193            -nan     0.1000    0.0144
     2        1.2900            -nan     0.1000    0.0090
     3        1.2592            -nan     0.1000    0.0098
     4        1.2319            -nan     0.1000    0.0101
     5        1.2080            -nan     0.1000    0.0084
     6        1.1822            -nan     0.1000    0.0110
     7        1.1671            -nan     0.1000    0.0029
     8        1.1431            -nan     0.1000    0.0091
     9        1.1270            -nan     0.1000    0.0044
    10        1.1078            -nan     0.1000    0.0072
    20        0.9831            -nan     0.1000    0.0012
    40        0.8148            -nan     0.1000    0.0019
    60        0.7164            -nan     0.1000   -0.0019
    80        0.6285            -nan     0.1000    0.0000
   100        0.5616            -nan     0.1000   -0.0010
   120        0.5091            -nan     0.1000   -0.0015
   140        0.4656            -nan     0.1000   -0.0020
   150        0.4453            -nan     0.1000   -0.0011

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3017            -nan     0.1000    0.0165
     2        1.2655            -nan     0.1000    0.0158
     3        1.2317            -nan     0.1000    0.0081
     4        1.1914            -nan     0.1000    0.0125
     5        1.1571            -nan     0.1000    0.0148
     6        1.1241            -nan     0.1000    0.0117
     7        1.1042            -nan     0.1000    0.0041
     8        1.0741            -nan     0.1000    0.0072
     9        1.0530            -nan     0.1000    0.0054
    10        1.0342            -nan     0.1000    0.0012
    20        0.8795            -nan     0.1000    0.0023
    40        0.6933            -nan     0.1000    0.0043
    60        0.5801            -nan     0.1000   -0.0005
    80        0.4922            -nan     0.1000   -0.0021
   100        0.4091            -nan     0.1000   -0.0009
   120        0.3476            -nan     0.1000   -0.0003
   140        0.3117            -nan     0.1000   -0.0003
   150        0.2877            -nan     0.1000   -0.0004

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3402            -nan     0.1000    0.0043
     2        1.3270            -nan     0.1000    0.0014
     3        1.3164            -nan     0.1000    0.0027
     4        1.3085            -nan     0.1000    0.0015
     5        1.2962            -nan     0.1000   -0.0004
     6        1.2866            -nan     0.1000    0.0020
     7        1.2761            -nan     0.1000    0.0025
     8        1.2682            -nan     0.1000    0.0018
     9        1.2571            -nan     0.1000    0.0013
    10        1.2494            -nan     0.1000    0.0027
    20        1.1793            -nan     0.1000    0.0006
    40        1.0759            -nan     0.1000   -0.0024
    60        0.9892            -nan     0.1000    0.0007
    80        0.9372            -nan     0.1000   -0.0019
   100        0.8936            -nan     0.1000   -0.0011
   120        0.8530            -nan     0.1000   -0.0014
   140        0.8214            -nan     0.1000   -0.0012
   150        0.8073            -nan     0.1000   -0.0006

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3284            -nan     0.1000    0.0081
     2        1.3064            -nan     0.1000    0.0087
     3        1.2845            -nan     0.1000    0.0043
     4        1.2628            -nan     0.1000    0.0033
     5        1.2363            -nan     0.1000    0.0074
     6        1.2219            -nan     0.1000    0.0009
     7        1.2085            -nan     0.1000    0.0013
     8        1.1936            -nan     0.1000    0.0025
     9        1.1744            -nan     0.1000    0.0051
    10        1.1521            -nan     0.1000    0.0056
    20        1.0172            -nan     0.1000    0.0040
    40        0.8667            -nan     0.1000   -0.0045
    60        0.7770            -nan     0.1000   -0.0004
    80        0.7048            -nan     0.1000   -0.0020
   100        0.6479            -nan     0.1000   -0.0021
   120        0.6026            -nan     0.1000   -0.0009
   140        0.5568            -nan     0.1000   -0.0013
   150        0.5382            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3149            -nan     0.1000    0.0133
     2        1.2840            -nan     0.1000    0.0029
     3        1.2588            -nan     0.1000    0.0076
     4        1.2376            -nan     0.1000    0.0052
     5        1.2092            -nan     0.1000    0.0050
     6        1.1800            -nan     0.1000    0.0120
     7        1.1592            -nan     0.1000    0.0018
     8        1.1373            -nan     0.1000    0.0054
     9        1.1178            -nan     0.1000    0.0055
    10        1.1003            -nan     0.1000    0.0031
    20        0.9330            -nan     0.1000   -0.0009
    40        0.7628            -nan     0.1000    0.0003
    60        0.6541            -nan     0.1000   -0.0022
    80        0.5678            -nan     0.1000   -0.0010
   100        0.5047            -nan     0.1000   -0.0022
   120        0.4509            -nan     0.1000   -0.0015
   140        0.4053            -nan     0.1000   -0.0014
   150        0.3836            -nan     0.1000   -0.0007

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3452            -nan     0.1000    0.0046
     2        1.3326            -nan     0.1000    0.0045
     3        1.3108            -nan     0.1000    0.0090
     4        1.3013            -nan     0.1000    0.0022
     5        1.2896            -nan     0.1000    0.0006
     6        1.2774            -nan     0.1000    0.0031
     7        1.2686            -nan     0.1000    0.0014
     8        1.2594            -nan     0.1000    0.0041
     9        1.2480            -nan     0.1000    0.0067
    10        1.2338            -nan     0.1000    0.0052
    20        1.1575            -nan     0.1000   -0.0011
    40        1.0439            -nan     0.1000   -0.0003
    60        0.9727            -nan     0.1000   -0.0002
    80        0.9179            -nan     0.1000   -0.0002
   100        0.8720            -nan     0.1000   -0.0003
   120        0.8303            -nan     0.1000   -0.0002
   140        0.7991            -nan     0.1000   -0.0031
   150        0.7859            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3182            -nan     0.1000    0.0175
     2        1.2872            -nan     0.1000    0.0087
     3        1.2579            -nan     0.1000    0.0137
     4        1.2313            -nan     0.1000    0.0140
     5        1.2167            -nan     0.1000    0.0019
     6        1.1957            -nan     0.1000    0.0080
     7        1.1688            -nan     0.1000    0.0081
     8        1.1527            -nan     0.1000    0.0050
     9        1.1317            -nan     0.1000    0.0007
    10        1.1189            -nan     0.1000   -0.0010
    20        1.0028            -nan     0.1000    0.0004
    40        0.8523            -nan     0.1000   -0.0003
    60        0.7654            -nan     0.1000   -0.0001
    80        0.6821            -nan     0.1000   -0.0014
   100        0.6180            -nan     0.1000   -0.0025
   120        0.5675            -nan     0.1000   -0.0015
   140        0.5247            -nan     0.1000    0.0002
   150        0.5102            -nan     0.1000   -0.0021

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3073            -nan     0.1000    0.0220
     2        1.2538            -nan     0.1000    0.0178
     3        1.2192            -nan     0.1000    0.0066
     4        1.1826            -nan     0.1000    0.0149
     5        1.1590            -nan     0.1000    0.0082
     6        1.1269            -nan     0.1000    0.0099
     7        1.1058            -nan     0.1000    0.0068
     8        1.0777            -nan     0.1000    0.0110
     9        1.0570            -nan     0.1000    0.0088
    10        1.0401            -nan     0.1000    0.0053
    20        0.8935            -nan     0.1000    0.0010
    40        0.7297            -nan     0.1000   -0.0016
    60        0.6196            -nan     0.1000    0.0002
    80        0.5342            -nan     0.1000   -0.0012
   100        0.4752            -nan     0.1000   -0.0031
   120        0.4191            -nan     0.1000   -0.0009
   140        0.3734            -nan     0.1000   -0.0006
   150        0.3522            -nan     0.1000    0.0005

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3596            -nan     0.1000    0.0034
     2        1.3399            -nan     0.1000    0.0058
     3        1.3230            -nan     0.1000    0.0026
     4        1.3098            -nan     0.1000    0.0037
     5        1.3015            -nan     0.1000    0.0008
     6        1.2951            -nan     0.1000    0.0012
     7        1.2885            -nan     0.1000   -0.0001
     8        1.2791            -nan     0.1000    0.0029
     9        1.2690            -nan     0.1000    0.0024
    10        1.2595            -nan     0.1000    0.0017
    20        1.1850            -nan     0.1000    0.0015
    40        1.0760            -nan     0.1000    0.0002
    60        0.9971            -nan     0.1000   -0.0007
    80        0.9400            -nan     0.1000    0.0001
   100        0.8872            -nan     0.1000    0.0002
