"dataset_name","technique","most_important_attribute"
"wall-robot-navigation","C5.0","V15"
"wall-robot-navigation","ctree","V15"
"wall-robot-navigation","fda","V15"
"wall-robot-navigation","gbm","V15"
"wall-robot-navigation","gcvEarth","V15"
"wall-robot-navigation","JRip","V15"
"wall-robot-navigation","lvq","V15"
"wall-robot-navigation","mlpML","V15"
"wall-robot-navigation","multinom","V15"
"wall-robot-navigation","naive_bayes","V15"
"wall-robot-navigation","PART","V15"
"wall-robot-navigation","rbfDDA","V15"
"wall-robot-navigation","rda","V15"
"wall-robot-navigation","rf","V15"
"wall-robot-navigation","rpart","V15"
"wall-robot-navigation","simpls","V15"
"wall-robot-navigation","svmLinear","V15"
"wall-robot-navigation","svmRadial","V15"
"wall-robot-navigation","rfRules","V15"
"wall-robot-navigation","knn","V15"
"wall-robot-navigation","bayesglm","V15"
