"dataset_name","most_important_attribute"
"mfeat-pixel","att113"
"mfeat-pixel","att153"
"mfeat-pixel","att57"
"mfeat-pixel","att168"
"mfeat-pixel","att1"
"mfeat-pixel","att60"
"mfeat-pixel","att123"
"mfeat-pixel","att220"
"mfeat-pixel","att15"
"mfeat-pixel","att182"
"mfeat-pixel","att96"
"mfeat-pixel","att112"
