dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
wdbc,C5.0,0.1,0.1,1,1,0,0,0
wdbc,C5.0,0.1,0.2,1,1,0,0,0
wdbc,C5.0,0.1,0.25,1,1,0,0,0
wdbc,C5.0,0.1,0.3,1,1,0,0,0
wdbc,C5.0,0.1,0.4,1,1,0,0,0
wdbc,C5.0,0.1,0.5,1,1,0,0,0
wdbc,C5.0,0.1,0.6,1,1,0,0,0
wdbc,C5.0,0.1,0.7,1,1,0,0,0
wdbc,C5.0,0.1,0.75,1,1,0,0,0
wdbc,C5.0,0.1,0.8,0.998,0.996,0.004,0.004,0.009
wdbc,C5.0,0.1,0.9,0.998,0.996,0.004,0.004,0.009
wdbc,C5.0,0.1,1,0.998,0.996,0.004,0.004,0.009
wdbc,C5.0,0.2,0.1,1,1,0,0,0
wdbc,C5.0,0.2,0.2,0.996,0.993,0.007,0.005,0.01
wdbc,C5.0,0.2,0.25,0.995,0.989,0.011,0.005,0.01
wdbc,C5.0,0.2,0.3,0.993,0.985,0.015,0.007,0.016
wdbc,C5.0,0.2,0.4,0.993,0.985,0.015,0.007,0.016
wdbc,C5.0,0.2,0.5,0.993,0.985,0.015,0.007,0.016
wdbc,C5.0,0.2,0.6,0.993,0.985,0.015,0.007,0.016
wdbc,C5.0,0.2,0.7,0.991,0.981,0.019,0.009,0.019
wdbc,C5.0,0.2,0.75,0.991,0.981,0.019,0.009,0.019
wdbc,C5.0,0.2,0.8,0.991,0.981,0.019,0.009,0.019
wdbc,C5.0,0.2,0.9,0.991,0.981,0.019,0.009,0.019
wdbc,C5.0,0.2,1,0.991,0.981,0.019,0.009,0.019
wdbc,C5.0,0.3,0.1,1,1,0,0,0
wdbc,C5.0,0.3,0.2,0.996,0.992,0.008,0.005,0.011
wdbc,C5.0,0.3,0.25,0.996,0.992,0.008,0.005,0.011
wdbc,C5.0,0.3,0.3,0.996,0.992,0.008,0.005,0.011
wdbc,C5.0,0.3,0.4,0.996,0.992,0.008,0.005,0.011
wdbc,C5.0,0.3,0.5,0.995,0.988,0.012,0.005,0.011
wdbc,C5.0,0.3,0.6,0.995,0.988,0.012,0.005,0.011
wdbc,C5.0,0.3,0.7,0.995,0.988,0.012,0.005,0.011
wdbc,C5.0,0.3,0.75,0.995,0.988,0.012,0.005,0.011
wdbc,C5.0,0.3,0.8,0.995,0.988,0.012,0.005,0.011
wdbc,C5.0,0.3,0.9,0.995,0.988,0.012,0.005,0.011
wdbc,C5.0,0.3,1,0.991,0.981,0.019,0.006,0.013
wdbc,JRip,0.1,0.1,1,1,0,0,0
wdbc,JRip,0.1,0.2,0.998,0.996,0.004,0.004,0.009
wdbc,JRip,0.1,0.25,0.998,0.996,0.004,0.004,0.009
wdbc,JRip,0.1,0.3,0.998,0.996,0.004,0.004,0.009
wdbc,JRip,0.1,0.4,0.998,0.996,0.004,0.004,0.009
wdbc,JRip,0.1,0.5,0.998,0.996,0.004,0.004,0.009
wdbc,JRip,0.1,0.6,0.998,0.996,0.004,0.004,0.009
wdbc,JRip,0.1,0.7,0.997,0.992,0.008,0.008,0.017
wdbc,JRip,0.1,0.75,0.997,0.992,0.008,0.008,0.017
wdbc,JRip,0.1,0.8,0.997,0.992,0.008,0.008,0.017
wdbc,JRip,0.1,0.9,0.997,0.992,0.008,0.008,0.017
wdbc,JRip,0.1,1,0.997,0.992,0.008,0.008,0.017
wdbc,JRip,0.2,0.1,1,1,0,0,0
wdbc,JRip,0.2,0.2,1,1,0,0,0
wdbc,JRip,0.2,0.25,0.998,0.996,0.004,0.004,0.008
wdbc,JRip,0.2,0.3,0.998,0.996,0.004,0.004,0.008
wdbc,JRip,0.2,0.4,0.996,0.992,0.008,0.005,0.011
wdbc,JRip,0.2,0.5,0.996,0.992,0.008,0.005,0.011
