noise_levels,dataset_type,n_datasets,n_methods,n_instance_levels,mean_kappa_loss,sd_kappa_loss,min_kappa_loss,max_kappa_loss,mean_accuracy,sd_accuracy,min_accuracy,max_accuracy
0.1,original,20,21,12,0.03079801587301589,0.06973084701929824,0,1,0.9888400793650793,0.03485420290587675,0.08,1
0.1,train_noise,20,21,12,0.02415972222222219,0.053814843612672955,0,0.94,0.9919625,0.01878617585763123,0.56,1
0.2,original,20,21,12,0.052366865079365096,0.08358810772840439,0,1,0.9812569444444444,0.03931383655887589,0.079,1
0.2,train_noise,20,21,12,0.044255158730158686,0.07341287801225337,0,0.982,0.9847307539682539,0.029690737870382025,0.444,1
0.3,original,20,21,12,0.0711095238095237,0.09660578154414501,0,1,0.97439583333333335,0.043433692846003076,0.079,1
0.3,train_noise,20,21,12,0.05974027777777781,0.08701794098179416,0,0.998,0.9794297619047618,0.03300333182923469,0.513,1
